FID,STATEFP,COUNTYFP,COUNTYNM,TRACTCE,GEOID,ALAND,AWATER,ASQMI,INTPTLAT,INTPTLON,MSSAID,MSSANM,DEFINITION,TOTALPOVPO,Shape__Area,Shape__Length
6098,06,083,Santa Barbara,002408,06083002408,640740,0,0.247390964929,+34.9515107,-120.4449965,180.1,Orcutt/Santa Maria,Urban,2081,955971.9921875,4939.06539596964
6099,06,083,Santa Barbara,002709,06083002709,707958,0,0.273344743205,+34.6431506,-120.4711334,179,Lompoc/Mission Hills/Vandenberg,Rural,3737,1048462.26171875,4113.79083102901
6100,06,037,Los Angeles,910815,06037910815,470716315,688389,182.010339844,+34.4430508,-118.1682734,77.4,Acton/Ravenna,Rural,4995,694712118.320312,179275.021425676
6101,06,037,Los Angeles,480602,06037480602,1631417,24599,0.639392307475,+34.1193308,-118.1613530,78.2mm,Pasadena South/San Marino/South Pasadena,Urban,3848,2422289.19140625,8214.96275850866
6102,06,037,Los Angeles,404805,06037404805,448710,0,0.173247482288,+34.0808589,-117.9719710,78.2zzz,Baldwin Park/Irwindale,Urban,3074,655743.3203125,3236.12182760726
6103,06,037,Los Angeles,401802,06037401802,2452356,0,0.94685958536,+34.1142801,-117.7284940,78.2tt,Claremont/La Verne/Pomona Northwest/San Dimas,Urban,3497,3586678.04296875,7578.58255939294
6104,06,037,Los Angeles,464102,06037464102,3082599,2728,1.19125205646,+34.1176486,-118.1278865,78.2mm,Pasadena South/San Marino/South Pasadena,Urban,4742,4512739.80859375,15413.1902772095
6105,06,037,Los Angeles,464101,06037464101,3176977,2087,1.22744285031,+34.1223718,-118.1142336,78.2mm,Pasadena South/San Marino/South Pasadena,Urban,2176,4650534.96484375,12553.8617256678
6106,06,037,Los Angeles,401705,06037401705,1624164,0,0.627094380742,+34.1155878,-117.7434632,78.2tt,Claremont/La Verne/Pomona Northwest/San Dimas,Urban,2867,2375489.07421875,8172.96822387951
6107,06,037,Los Angeles,480601,06037480601,706578,0,0.272810553805,+34.1194181,-118.1466951,78.2mm,Pasadena South/San Marino/South Pasadena,Urban,3925,1033523.37890625,5239.5521560874
6108,06,037,Los Angeles,431701,06037431701,3286266,0,1.26883469261,+34.1211647,-118.0426301,78.2dddd,Arcadia Southeast/San Gabriel North,Urban,6057,4807086.46875,9358.47775567587
6109,06,037,Los Angeles,404203,06037404203,644916,0,0.249003535623,+34.1250568,-117.8857418,78.2qq,Asuza/Charter Oak/Covina,Urban,2966,943456.75,3904.61912862703
6110,06,037,Los Angeles,211123,06037211123,172032,0,0.0664222505277,+34.0627183,-118.2871904,78.2e,Country Club Park/Koreatown/Mid-City East,Urban,1478,251302.1484375,2501.03485284316
6111,06,037,Los Angeles,265521,06037265521,130990,0,0.0505752059804,+34.0567030,-118.4448253,78.2w,Century City/Cheviot Hills/Rancho Park/West Los Angeles/Westwood,Urban,1849,191319.5,2060.06593991959
6112,06,037,Los Angeles,199001,06037199001,249852,0,0.0964684491099,+34.0768133,-118.2172897,78.2i,El Sereno North/Highland Park/Montecito Heights/Monterey Hills,Urban,2676,365099.3671875,2958.20449220215
6113,06,037,Los Angeles,432501,06037432501,1067466,0,0.412150492963,+34.0934041,-118.0123277,78.2dddd,Arcadia Southeast/San Gabriel North,Urban,4727,1560451.58984375,5947.00933761812
6114,06,037,Los Angeles,185102,06037185102,1462937,0,0.564842911619,+34.1062262,-118.2128244,78.2dd,Burbank South/Eagle Rock/Glendale Northwest,Urban,3459,2139205.671875,10202.1534506893
